STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
13th St,NW,Kennedy St,Longfellow St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,4,MINOR ARTERIAL,4/4/2005 12:00:00 AM,8/1/2005 12:00:00 AM,8/1/2005 12:00:00 AM,WASA Lead Location FY-05,397426.248480,143205.119810,38.95674728748580,-77.02969432656290,,FedAid,Paul Stephenson,5834,O. Hill,N/A,202-671-4591
S St,NW,North Capitol St,3rd St,3,Regular Cover,1999,100,Completed,0.33,5,LOCAL,3/31/2004 12:00:00 AM,,8/1/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398923.606460,138468.902560,38.914085136186,-77.01241132297460,,,,2467,,,
Rhode Island Ave,NE,Brentwood Rd (W),Brentwood Rd (M),1,Pavement Resurface/restoration,2004,100,Completed,0.09,5,PRINCIPAL ARTERIAL,7/1/2005 12:00:00 AM,8/5/2005 12:00:00 AM,8/3/2005 12:00:00 AM,,401108.114560,139574.106590,38.92404113618740,-76.98722113489370,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5486,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Mill Rd,NW,27th St,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,LOCAL,4/4/2005 12:00:00 AM,,8/3/2005 12:00:00 AM,,395309.868030,138132.901980,38.91104647452620,-77.05407712302820,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,5796,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Rhode Island Ave,NE,Brentwood Rd (M),14th St  Evarts St  Montan,2,Pavement Resurface/restoration,2005,100,Completed,0.16,5,PRINCIPAL ARTERIAL,7/1/2008 12:00:00 AM,,8/3/2005 12:00:00 AM,,401294.796740,139657.253180,38.92478989188340,-76.98506814436680,,,,8237,,,
Mellon St,SE,5th St,Martin Luther King Jr Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.20,8,LOCAL,7/1/2006 12:00:00 AM,,8/3/2005 12:00:00 AM,,400133.423420,130948.259580,38.84633690526180,-76.99846302530360,,CIP_2004-2009,FY-05,4175,,,
Nebraska Ave,NW,Northampton St,Oliver St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,4,COLLECTOR,4/4/2005 12:00:00 AM,,8/4/2005 12:00:00 AM,,394655.007160,144260.9552,38.96624602673290,-77.06167538902380,N/A,Citywide Pavement Restoration,Paul Stephenson,5296,M. Howard and O. hill,N/A,202-671-4591
Military Rd,NW,30th St,Broad Branch Rd,4,Pavement Resurface/restoration,2004,100,Completed,0.35,4,PRINCIPAL ARTERIAL,3/31/2004 12:00:00 AM,,8/4/2005 12:00:00 AM,,394540.290330,143680.418240,38.96101570010380,-77.06299447319240,N/A,FedAid_6YR_CIP,Paul Stephenson,4762,O. Hill,N/A,202-671-4591
Nebraska Ave,NW,Oliver St,Utah Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.04,4,COLLECTOR,7/1/2006 12:00:00 AM,,8/4/2005 12:00:00 AM,,394702.648340,144332.348580,38.96688944430030,-77.06112621353360,N/A,Citywide Pavement Restoratin,paul Stephenson,7867,M. Howard and O. Hill,N/A,202-671-4591
16th St,NW,Alaska Ave,Primrose Rd,13,Reconstruction,1999,100,Completed,0.97,4,PRINCIPAL ARTERIAL,6/15/2001 12:00:00 AM,,6/20/2005 12:00:00 AM,Storm water management from Alaska & Whittier to Rock Reek was designed and constructed once construction of the roadway started.,396851.005880,145993.534920,38.98186412402230,-77.03634392127010,Reconstruction of 16th St. from Alaska to Primrose,Recons of 16TH St. from Alaska to Prime Rose  N.W.,Eskender  Konjit,2349,Porter Curtis,Porter.Curtis@Dc.gov,202-671-4581
